一级分类,二级分类,三级分类,商品id,好评数
16750,16755,16806,10043316917554,2300
16750,16755,16806,10028224950559,300
16750,16755,16806,1247782866,2900
16750,16755,16806,10027164793304,200
16750,16755,16806,10033628019354,1400
16750,16755,16806,100031845200,2000
16750,16755,16806,10063161605130,200
16750,16755,16806,69823183667,2700
16750,16755,16806,27106172833,16000
16750,16755,16806,10058213040454,6
16750,16755,16806,100012050749,1800
16750,16755,16806,100023636240,7500
16750,16755,16806,100021409566,41000
16750,16755,16806,10057116709402,2500
16750,16755,16806,100042363307,4000
16750,16755,16806,100017844015,33000
16750,16755,16806,100032703196,22000
16750,16755,16806,10027527321755,2700
16750,16755,16806,10027908516263,1000
16750,16755,16806,10060159792815,2300
16750,16755,16806,100040679764,900
16750,16755,16806,10062636026900,40
16750,16755,16806,100056732179,2000
16750,16755,16806,10071760267544,100
16750,16755,16806,10067689686573,200
16750,16755,16806,100048541004,13000
16750,16755,16806,100022799171,1100
16750,16755,16806,100055876519,300
16750,16755,16806,10067560945727,200
16750,16755,16806,10054979097505,40
16750,16755,16806,10056720697392,600
16750,16755,16806,41806475844,3400
16750,16755,16806,100046891901,200
16750,16755,16806,10044098718528,1500
16750,16755,16806,10066602796815,1100
16750,16755,16806,100045639329,12000
16750,16755,16806,30892678215,2400
16750,16755,16806,1343056644,34000
16750,16755,16806,10065952448642,100
16750,16755,16806,10057247864148,1100
16750,16755,16806,100050239868,500
16750,16755,16806,10066383938741,10
16750,16755,16806,10033994876001,1300
16750,16755,16806,66760208259,20000
16750,16755,16806,100023593154,1400
16750,16755,16806,100033194880,33000
16750,16755,16806,100035197095,600
16750,16755,16806,100035862687,400
16750,16755,16806,100036750731,200
16750,16755,16806,10048139463150,700
16750,16755,16806,100048568029,60
16750,16755,16806,10073545768971,10
16750,16755,16806,10062222939673,200
16750,16755,16806,10056410923399,1500
16750,16755,16806,10053363584206,100
16750,16755,16806,100022550401,19000
16750,16755,16806,100050943875,700
16750,16755,16806,100033816410,1400
16750,16755,16806,41286489423,2600
16750,16755,16806,100033850564,30000
16750,16755,16806,10025136197877,5500
16750,16755,16806,1342992558,34000
16750,16755,16806,100012891161,6700
16750,16755,16806,10076039349754,1
16750,16755,16806,100020722175,1100
16750,16755,16806,100040960744,100
16750,16755,16806,10059596621842,100
16750,16755,16806,10074248542218,7
16750,16755,16806,10049068971377,5200
16750,16755,16806,10074682854770,2
16750,16755,16806,100051000029,1200
16750,16755,16806,10032340713713,1800
16750,16755,16806,100018132408,3200
16750,16755,16806,10022773751482,100
16750,16755,16806,100020637658,3200
16750,16755,16806,100011896609,1100
16750,16755,16806,10025743569517,7900
16750,16755,16806,10022376843249,1100
16750,16755,16806,10053237795930,600
16750,16755,16806,10058545065143,600
16750,16755,16806,10035923337013,20000
16750,16755,16806,62800465188,19000
16750,16755,16806,10023785960807,2700
16750,16755,16806,100038700203,2000
16750,16755,16806,10022319653615,100
16750,16755,16806,100021893922,6400
16750,16755,16806,10044886840247,1800
16750,16755,16806,10059057018470,1400
16750,16755,16806,100016252152,2400
16750,16755,16806,10035284568068,2100
16750,16755,16806,10026416329418,500
16750,16755,16806,10059441022125,300
16750,16755,16806,10364762388,35000
16750,16755,16806,10067929893513,13000
16750,16755,16806,1633747,58000
16750,16755,16806,20589126453,42000
16750,16755,16806,100049391244,16000
16750,16755,16806,10045985762870,6700
16750,16755,16806,10068089132244,1800
16750,16755,16806,10073084455651,80
16750,16755,16806,10021138290893,200
16750,16755,16806,1247796259,500
