名次,电影名称,票房,总场次,人次,票价(元)
88,007：幽灵党,http://img.58921.com/sites/all/movie/files/protec/986a37e910c2b40834114b2c0851eefd.png,25.51万,988.84万,40.9
89,神秘巨星,http://img.58921.com/sites/all/movie/files/protec/22bbc0217ef12cdf62ef4bf9c7791b8e.png,40.12万,1280.81万,31.4
90,寒战2,http://img.58921.com/sites/all/movie/files/protec/a222d7a6b21cc53c6800abb41d517df9.png,25.38万,870.13万,46
91,霍比特人3：去而复归,http://img.58921.com/sites/all/movie/files/protec/41076e2f1d58edb4475c730fa7b7aa31.png,17.73万,775.78万,51.4
92,智取威虎山3D,http://img.58921.com/sites/all/movie/files/protec/41076e2f1d58edb4475c730fa7b7aa31.png,17.4万,775.79万,51.4
93,金刚：骷髅岛,http://img.58921.com/sites/all/movie/files/protec/41076e2f1d58edb4475c730fa7b7aa31.png,48.37万,1049.5万,38
94,澳门风云2,http://img.58921.com/sites/all/movie/files/protec/b0355191249834ad1d27a475359092db.png,16.2万,828.29万,47.5
95,正义联盟,http://img.58921.com/sites/all/movie/files/protec/b78ab90bb3a1dc1bcd376955ca00f136.png,41.52万,1096.44万,35.8
96,雷神3：诸神黄昏,http://img.58921.com/sites/all/movie/files/protec/f24ff2c8a2592c6481fe39ab6d9f6ef8.png,34.87万,1095.97万,35.7
97,北京遇上西雅图之不二情书,http://img.58921.com/sites/all/movie/files/protec/841f9cd2d7a2db38fb418685577a6ae2.png,34.99万,969.87万,40.3
98,巨齿鲨,http://img.58921.com/sites/all/movie/files/protec/4602f54d442e13155827571e15ebea41.png,30.52万,945.13万,40.3
99,从你的全世界路过,http://img.58921.com/sites/all/movie/files/protec/bb6eb2a5c1830872f21b40fe8754ad9d.png,36.56万,1013.97万,37.2
100,无问西东,http://img.58921.com/sites/all/movie/files/protec/a05a81f1c158cdad42955cfc032e6b9c.png,37.01万,1097.59万,32.3
101,黑豹,http://img.58921.com/sites/all/movie/files/protec/47cc453e3cee1139a13c63ff89e10d0b.png,29.07万,963.76万,36.7
102,长城,http://img.58921.com/sites/all/movie/files/protec/6e4af009ca9feecaab3b7ac42831d6f4.png,46.77万,874.23万,39.5
103,生化危机6：终章,http://img.58921.com/sites/all/movie/files/protec/c8f930ae268978abcbd0d7cf00a657b5.png,40.16万,918.16万,37.3
